date,run ,I_in,Ch1,Ch2,Ch3,Ch4,,,,
1506,1,0,-0.095536611,-0.1222808,-0.093945596,-0.1216747,,,,
1506,1,36,-0.033335534,-0.053564142,-0.024925888,-0.085081375,,,,
1506,1,60,-0.006894395,-0.009091509,-0.006061006,-0.036517562,,,,
1506,1,90,0.005227618,0.040002641,0.081293246,0.008561171,,,,
1506,1,150,0.091218144,0.101294566,0.141297207,0.081975109,,,,
1506,1,220,0.15341922,0.177587482,0.167056484,0.150919055,,,,
1506,1,260,0.213271656,0.261986994,0.293201176,0.230697049,,,,
2306,2,,-0.075650486,-0.081543087,-0.079298644,-0.070943911,,,,
2306,2,,-0.013601774,-0.016259074,-0.030731602,-0.030010979,,,,
2306,2,,0.002627274,0.023059962,0.01573362,0.035805995,,,,
2306,2,,0.070395937,0.05171977,0.060697542,0.068023884,,,,
2306,2,,0.109009362,0.119908797,0.145611046,0.134771663,,,,
2306,2,,0.151511153,0.161554847,0.226561119,0.184779952,,,,
2306,2,,0.198757051,0.210166928,0.305814724,0.249786223,,,,
2306,3,,-0.061027828,-0.087916103,-0.069938041,-0.076979136,,,,
2306,3,,-0.020717934,-0.008992785,-0.009638343,-0.0151331,,,,
2306,3,,0.02269965,0.018556063,0.033463968,0.02655799,,,,
2306,3,,0.039604283,0.06790378,0.072632874,0.064090479,,,,
2306,3,,0.120839603,0.133600649,0.150655412,0.112072013,,,,
2306,3,,0.160684094,0.18812785,0.219189738,0.185500576,,,,
2306,3,,0.20681903,0.245597598,0.265264622,0.218934517,,,,
2906,4,,-0.04169957,-0.083382453,-0.049567256,-0.067571992,,,,
2906,4,,0.014333706,0.006691288,0.019122732,0.006374244,,,,
2906,4,,0.049325301,0.056900973,0.047706711,0.047706711,,,,
2906,4,,0.062324087,0.083248961,0.087670884,0.073170313,,,,
2906,4,,0.122145198,0.154934175,0.14327031,0.14026674,,,,
2906,4,,0.185320296,0.20829761,0.226385779,0.189291684,,,,
2906,4,,0.18491982,0.256071067,0.248495395,0.241203393,,,,
2906,5,,-0.080695926,-0.075097604,-0.071251366,-0.101804352,,,,
2906,5,,-0.025947511,-0.020474339,-0.010712735,-0.050243059,,,,
2906,5,,0.002836705,0.012965412,0.023010687,0.011763984,,,,
2906,5,,0.02543023,0.041599451,0.04336822,0.053496927,,,,
2906,5,,0.094829393,0.099518301,0.093594592,0.110381214,,,,
2906,5,,0.122061765,0.152531319,0.149778046,0.149394257,,,,
2906,5,,0.149611181,0.194114083,0.200671879,0.137596899,,,,
607,6,,-0.068366106,-0.078464325,-0.067367891,-0.08072385,,,,
607,6,,-0.006175003,-0.008960719,0.004550002,-0.01620358,,,,
607,6,,0.026273818,0.024958381,0.039160849,0.032302476,,,,
607,6,,0.034511922,0.066470272,0.073651228,0.058685744,,,,
607,6,,0.098917925,0.1263454,0.117417395,0.107374888,,,,
607,6,,0.12224649,0.179338185,0.214763203,0.178378661,,,,
607,6,,0.189583429,0.218879872,0.259117988,0.198637005,,,,
607,7,,-0.093383083,-0.113360781,-0.099578002,-0.09928511,,,,
607,7,,-0.054336932,-0.063854794,-0.027222633,-0.053114312,,,,
607,7,,-0.013669493,-0.009236945,0.012657619,-0.02131963,,,,
607,7,,0.008233338,0.034094065,0.027067871,0.006871432,,,,
607,7,,0.065680985,0.094745286,0.114988153,0.070107178,,,,
607,7,,0.125047682,0.146946503,0.168597704,0.142411976,,,,
607,7,,0.129845303,0.186008427,0.20122153,0.165951274,,,,
607,8,,-0.090001831,-0.090713736,-0.115398272,-0.056070266,,,,
607,8,,-0.080460755,-0.066098843,-0.042435736,-0.032530969,,,,
607,8,,-0.027900587,-0.009321884,0.004365474,-0.001666877,,,,
607,8,,0.009904767,0.0274393,0.020660725,0.028955967,,,,
607,8,,0.068193814,0.105900783,0.11289408,0.079658988,,,,
607,8,,0.135308401,0.140941738,0.157686984,0.136948878,,,,
607,8,,0.123948872,0.240592978,0.212070345,0.201051292,,,,
607,9,,-0.103574457,-0.126494707,-0.093406595,-0.132971496,,,,
607,9,,-0.042203593,-0.051628597,0.000263095,-0.061889317,,,,
607,9,,-0.007715839,0.012205194,0.037837285,3.99E-08,,,,
607,9,,0.052139312,0.043194069,0.076994086,0.046614309,,,,
607,9,,0.088697972,0.121395096,0.145519267,0.113797681,,,,
607,9,,0.145832216,0.219746539,0.229666782,0.173983421,,,,
607,9,,0.201159625,0.283740619,0.283137047,0.25914894,,,,
1307,10,,-0.039513984,-0.06042906,-0.052444189,-0.046650288,,,,
1307,10,,-0.010182797,-0.024664071,0.003769861,0.00240659,,,,
1307,10,,0.008137891,0.009292498,0.01442563,0.018807571,,,,
1307,10,,0.030645769,0.038074203,0.048646506,0.048896903,,,,
1307,10,,0.06944334,0.07922272,0.077525587,0.091603444,,,,
1307,10,,0.129844578,0.130401015,0.1597948,0.133364042,,,,
1307,10,,0.130790521,0.172217257,0.190774431,0.180661188,,,,
1307,11,,-0.053863103,-0.068302644,-0.073442731,-0.058648462,,,,
1307,11,,-0.025902143,-0.033706172,-0.012144238,0.02104723,,,,
1307,11,,0.006774621,0.010405372,0.011323493,0.005912143,,,,
1307,11,,0.036599645,0.033163646,0.016999151,0.042623075,,,,
1307,11,,0.060957675,0.08478709,0.094302163,0.069707647,,,,
1307,11,,0.130053242,0.105583924,0.097626875,0.076885685,,,,
1307,11,,0.136953061,0.17242592,0.151295225,0.182274856,,,,
1307,12,,-0.118903635,-0.105138774,-0.090393193,-0.120225173,,,,
1307,12,,-0.051498246,-0.040230396,-0.032134238,-0.063503375,,,,
1307,12,,-0.023620751,-0.008791705,-0.006844175,-0.01818158,,,,
1307,12,,0.001168518,0.019322275,0.012283347,0.016873953,,,,
1307,12,,0.076677021,0.086790264,0.089057744,0.095442859,,,,
1307,12,,0.093592706,0.12357075,0.186086449,0.175834097,,,,
1307,12,,0.148499129,0.196825684,0.171104383,0.186295113,,,,
2007,13,,-0.148651883,-0.176822226,-0.144681643,-0.12445178,,,,
2007,13,,-0.112849194,-0.146930342,-0.097280711,-0.094336528,,,,
2007,13,,-0.069619518,-0.099979546,-0.065117743,-0.043761265,,,,
2007,13,,-0.036980722,-0.060991426,-0.023118527,-0.026832213,,,,
2007,13,,0.035519783,0.016259919,0.036400807,0.053898622,,,,
2007,13,,0.093942484,0.071742155,0.115927203,0.094158093,,,,
2007,13,,0.158896661,0.152718338,0.169457802,0.154513843,,,,
2707,14,,-0.090112109,-0.109288001,-0.087984568,-0.077807134,,,,
2707,14,,-0.053546311,-0.05945758,-0.038419237,-0.029339785,,,,
2707,14,,-0.02660472,-0.004058483,0.002133511,-0.007098335,,,,
2707,14,,0.005277632,0.017846097,0.036526348,0.030534872,,,,
2707,14,,0.034593355,0.076084527,0.080086865,0.060748915,,,,
2707,14,,0.081057372,0.12841971,0.099609292,0.127112333,,,,
2707,14,,0.119091615,0.14564019,0.16083945,0.180770933,,,,
2707,15,,-0.078268997,-0.097672615,-0.076173546,-0.065808736,,,,
2707,15,,-0.035082619,-0.043440207,-0.032820776,-0.009544654,,,,
2707,15,,-0.01442125,-0.005405964,0.013707406,0.020773659,,,,
2707,15,,0.018086718,0.024062153,0.036726866,0.048380969,,,,
2707,15,,0.049191061,0.084057121,0.072122293,0.088468515,,,,
2707,15,,0.08852466,0.133625155,0.138750394,0.137852074,,,,
2707,15,,0.142969291,0.164047737,0.167865599,0.19045194,,,,
2707,16,,-0.116582455,-0.144900865,-0.122165234,-0.113560949,,,,
2707,16,,-0.087578216,-0.09847035,-0.083664105,-0.068111934,,,,
2707,16,,-0.047923788,-0.056145023,-0.017116211,-0.034689604,,,,
2707,16,,-0.014453333,-0.001724454,-0.001547999,0.00223778,,,,
2707,16,,0.041563359,0.075972237,0.074729026,0.081041331,,,,
2707,16,,0.072619577,0.136119599,0.128856839,0.096834124,,,,
2707,16,,0.120078163,0.196074463,0.214113056,0.160269979,,,,
308,17,,-0.080858616,-0.088316202,-0.07754585,-0.069272842,,,,
308,17,,-0.042591795,-0.037132338,-0.027544835,-0.027899432,,,,
308,17,,-0.012865853,-0.003311803,0.010678056,-0.000281002,,,,
308,17,,0.006041532,0.021315969,0.041568147,0.020820871,,,,
308,17,,0.061137892,0.08153057,0.094577067,0.098999495,,,,
308,17,,0.075810183,0.107911256,0.127741932,0.123292742,,,,
308,17,,0.109824743,0.153681044,0.160599033,0.137717484,,,,
308,18,,-0.07372944,-0.081373746,-0.067917069,-0.074340085,,,,
308,18,,-0.026092994,-0.028929771,-0.013093331,-0.022705365,,,,
308,18,,-0.004596381,-0.004937597,0.020506417,0.00365748,,,,
308,18,,0.021663876,0.028762508,0.051262697,0.03389636,,,,
308,18,,0.065961751,0.077656764,0.100330907,0.081316474,,,,
308,18,,0.10128096,0.117538902,0.170735157,0.129851673,,,,
308,18,,0.141089502,0.174127246,0.193255418,0.169490722,,,,
308,19,,-0.085850546,-0.091621445,-0.089003666,-0.059830939,,,,
308,19,,-0.041059668,-0.049228782,-0.038002104,-0.008316306,,,,
308,19,,-0.010162887,-0.00771416,-0.00287692,0.011748538,,,,
308,19,,0.016271323,0.024721439,0.000488407,0.048887566,,,,
308,19,,0.047194867,0.080118873,0.056186914,0.086635431,,,,
308,19,,0.10142146,0.135944499,0.120215107,0.169256554,,,,
308,19,,0.127347192,0.182262908,0.198467326,0.169785105,,,,
1008,20,,-0.060095141,-0.065607922,-0.045072762,-0.037380174,,,,
1008,20,,-0.026481014,-0.025045798,-0.006721167,-0.007816801,,,,
1008,20,,-0.008656146,0.000756051,0.017241812,0.028588987,,,,
1008,20,,0.009937588,0.024424298,0.042742522,0.049124107,,,,
1008,20,,0.046317747,0.077219739,0.087939007,0.098517317,,,,
1008,20,,0.064764115,0.101727331,0.114516129,0.131200513,,,,
1008,20,,0.103027995,0.13663383,0.123851439,0.160833876,,,,
1008,21,,-0.088566554,-0.106202984,-0.105541423,-0.086296653,,,,
1008,21,,-0.050379921,-0.058459417,-0.050700281,-0.030165162,,,,
1008,21,,-0.022713572,-0.023328665,-0.021560274,-0.00694542,,,,
1008,21,,-0.001729948,0.008207641,0.010527052,0.027365209,,,,
1008,21,,0.050264591,0.068948026,0.070658752,0.060778828,,,,
1008,21,,0.078180821,0.117514705,0.097530606,0.104802793,,,,
1008,21,,0.100708584,0.134538672,0.120615796,0.150736108,,,,
1008,22,,-0.059040601,-0.068755821,-0.058690184,-0.060570223,,,,
1008,22,,-0.029569291,-0.023591361,-0.017164925,-0.021002846,,,,
1008,22,,-0.005305173,0.001422401,0.007534883,-0.00308187,,,,
1008,22,,0.016094921,0.026442571,0.032977929,0.027788086,,,,
1008,22,,0.047035355,0.071280252,0.07013336,0.090245604,,,,
1008,22,,0.091309201,0.11623967,0.108358797,0.117546741,,,,
1008,22,,0.120820827,0.159206444,0.151280721,0.163749159,,,,
1008,23,,-0.075397504,-0.090290927,-0.07541124,-0.072825013,,,,
1008,23,,-0.039763168,-0.038052442,-0.021163027,-0.026686045,,,,
1008,23,,-0.010104176,0.010398908,0.013591302,0.000659943,,,,
1008,23,,0.008322971,0.01756858,0.018894873,0.028358328,,,,
1008,23,,0.057331748,0.063431415,0.067621733,0.086048879,,,,
1008,23,,0.074656853,0.110204074,0.095576406,0.094006638,,,,
1008,23,,0.112363305,0.137453954,0.149582809,0.149794247,,,,
1708,24,,0.206644332,-0.089831722,0.00194119,-0.060012471,,,,
1708,24,,0.18656564,-0.05060482,0.056643296,-0.022927887,,,,
1708,24,,0.055438419,-0.011548496,0.07746441,0.013281828,,,,
1708,24,,0.028374493,0.023160407,0.104500151,0.041578814,,,,
1708,24,,0.037752802,0.069002089,0.164793307,0.08675112,,,,
1708,24,,0.509550094,0.114160303,0.16639981,0.132325052,,,,
1708,24,,0.159170549,0.14882693,0.179991664,0.158747786,,,,
1708,25,,0.018819902,-0.021553149,0.009917483,0.001316284,,,,
1708,25,,0.008293215,-0.046278538,-0.018185887,-0.027564196,,,,
1708,25,,0.02592951,-0.009512184,0.019256889,0.005580481,,,,
1708,25,,0.038196704,0.012457438,0.030107825,0.027648749,,,,
1708,25,,0.073011299,0.077253028,0.07809151,0.09530504,,,,
1708,25,,0.061589631,0.078105602,0.06526063,0.091387429,,,,
1708,25,,0.058313212,0.069065504,0.082551667,0.068353851,,,,
1708,26,,-0.011531066,-0.085987321,-0.027042465,-0.051130989,,,,
1708,26,,0.028804303,-0.030234654,0.022596722,-0.006186443,,,,
1708,26,,0.050731649,-0.012372886,0.035603753,0.031319747,,,,
1708,26,,0.043579896,0.016297542,0.066409138,0.047095881,,,,
1708,26,,0.062991798,0.053240047,0.108326163,0.099920211,,,,
1708,26,,0.085144618,0.117042142,0.172903325,0.139068133,,,,
1708,26,,0.069326208,0.160868651,0.163701168,0.150729367,,,,
1708,27,,-0.029956443,-0.104583719,-0.059087658,-0.072007129,,,,
1708,27,,0.005946877,-0.050611866,-0.003896473,-0.021138187,,,,
1708,27,,0.018002689,-0.018453637,0.019383718,0.007842267,,,,
1708,27,,0.028846579,0.010780476,0.039457949,0.028311079,,,,
1708,27,,0.07365249,0.051541946,0.069847617,0.087772799,,,,
1708,27,,0.112779275,0.113857322,0.135228029,0.132670309,,,,
1708,27,,0.135707162,0.148418258,0.115625884,0.147164059,,,,
1708,28,,-0.036819292,-0.096367251,-0.059840416,-0.087736262,,,,
1708,28,,0.008342538,-0.046912683,-0.009350125,-0.027451459,,,,
1708,28,,0.030248746,-0.01263359,0.016579385,-0.004305144,,,,
1708,28,,0.056882862,0.02036312,0.041614045,0.024766909,,,,
1708,28,,0.080945165,0.072440568,0.074660077,0.089463854,,,,
1708,28,,0.102851373,0.122080077,0.13596082,0.124151619,,,,
1708,28,,0.143521245,0.18454342,0.168464306,0.17101498,,,,
2408,29,,-0.058278051,-0.11547413,-0.079981039,-0.080334266,,,,
2408,29,,-0.023237182,-0.07383019,-0.027565249,-0.033429082,,,,
2408,29,,-0.006841138,-0.034441291,-0.006876042,0.003464199,,,,
2408,29,,0.017539142,-0.00898772,0.032696102,0.019546109,,,,
2408,29,,0.056465567,0.048812916,0.068193232,0.070854644,,,,
2408,29,,0.070296184,0.082870265,0.071072793,0.107817732,,,,
2408,29,,0.096334393,0.116927615,0.110391885,0.141238088,,,,
2408,30,,-0.104811558,-0.13232671,-0.116657833,-0.122844233,,,,
2408,30,,-0.073961079,-0.087940037,-0.060034477,-0.084667809,,,,
2408,30,,-0.043760596,-0.04671869,-0.033272015,-0.046090423,,,,
2408,30,,-0.013027831,-0.012425741,-0.003760881,-0.014581048,,,,
2408,30,,0.030549521,0.046797224,0.055575521,0.048394071,,,,
2408,30,,0.079685297,0.08898715,0.083830119,0.072198439,,,,
2408,30,,0.095994081,0.132643035,0.108480903,0.120496525,,,,
2408,31,,-0.103106261,-0.137077302,-0.131794262,-0.126615893,,,,
2408,31,,-0.074449732,-0.091762,-0.092896372,-0.095967904,,,,
2408,31,,-0.04504331,-0.061936732,-0.058106044,-0.056884412,,,,
2408,31,,-0.025916046,-0.027783397,-0.037312125,-0.027251115,,,,
2408,31,,-0.005916188,0.015619435,0.029441326,0.012129059,,,,
2408,31,,0.038516305,0.067722031,0.06020027,0.066788356,,,,
2408,31,,0.084091897,0.101186016,0.086447901,0.105304661,,,,
2408,32,,-0.1057423,-0.136510949,-0.114058205,-0.10628655,,,,
2408,32,,-0.057599939,-0.089789937,-0.074737688,-0.062565,,,,
2408,32,,-0.041134088,-0.05185827,-0.04054945,-0.037128881,,,,
2408,32,,-0.003952852,-0.016212799,-0.014650856,-0.003167517,,,,
2408,32,,0.030767669,0.035924701,0.053114805,0.054877445,,,,
2408,32,,0.057294531,0.085793456,0.083891201,0.10595038,,,,
2408,32,,0.080549165,0.15071446,0.107590857,0.131403952,,,,
3108,33,,-0.104140599,-0.151656084,-0.101463847,-0.109988338,,,,
3108,33,,-0.047155367,-0.092698122,-0.043973435,-0.04724195,,,,
3108,33,,-0.023821199,-0.034568336,-0.007078175,-0.022186941,,,,
3108,33,,-0.009892129,0.010076118,0.020563506,0.013734258,,,,
3108,33,,0.051149016,0.073833811,0.08313068,0.076084973,,,,
3108,33,,0.106086047,0.105945349,0.107817711,0.11588077,,,,
3108,33,,0.120826834,0.123435152,0.118543203,0.138511449,,,,
3108,34,,-0.07793209,-0.114675118,-0.082091662,-0.079702809,,,,
3108,34,,-0.02065009,-0.053714043,-0.02744687,-0.024481395,,,,
3108,34,,0.005216637,-0.020065653,0.021050537,0.014113059,,,,
3108,34,,0.026916548,0.025119946,0.043388998,0.051062433,,,,
3108,34,,0.067513238,0.100230859,0.089159034,0.117027997,,,,
3108,34,,0.114322272,0.141639267,0.142234526,0.174356888,,,,
3108,34,,0.152613686,0.208210913,0.191034974,0.223741772,,,,
3108,35,,-0.159868005,-0.190945707,-0.169258318,-0.152152762,,,,
3108,35,,-0.117807245,-0.136487567,-0.111443381,-0.092016279,,,,
3108,35,,-0.084061449,-0.080305904,-0.068876923,-0.049352415,,,,
3108,35,,-0.038702684,-0.027587567,-0.029806261,-0.022544097,,,,
3108,35,,0.004794544,0.054720573,0.028875492,0.075067621,,,,
3108,35,,0.046711628,0.110523435,0.093758766,0.144052773,,,,
3108,35,,0.060792218,0.172365475,0.153317174,0.172874151,,,,
3108,36,,-0.138350007,-0.156223014,-0.172065269,-0.152678065,,,,
3108,36,,-0.100512254,-0.096994812,-0.128695081,-0.094180859,,,,
3108,36,,-0.060132022,-0.075110913,-0.074905278,-0.058973972,,,,
3108,36,,-0.036830322,-0.008842308,-0.0521339,-0.023951073,,,,
